dataset,model,fname,ACC,DSC,iou,iouA,iouB,dice,model_
Bile Duct Branch,HE2F,13_39_33536_55296_real_B_b.png,0.745956421,0.777482258,0.589602694,0.635968077,0.543237311,0.37297821,4
Bile Duct Branch,HE2F,13_39_33536_55296_real_B_c.png,0.914718628,0.590159126,0.663869746,0.418599813,0.90913968,0.457359314,4
Bile Duct Branch,HE2F,13_39_33536_55296_real_B_d.png,0.776351929,0.714727807,0.622698197,0.556090617,0.689305776,0.388175964,4
Bile Duct Branch,HE2F,13_39_34048_23040_real_B_a.png,0.788589478,0.856580922,0.587847576,0.74913996,0.426555192,0.394294739,4
Bile Duct Branch,HE2F,13_39_34048_23040_real_B_b.png,0.828094482,0.75756402,0.687354694,0.60974089,0.764968498,0.414047241,4
Bile Duct Branch,HE2F,13_39_34048_23040_real_B_c.png,0.813583374,0.88451977,0.570653454,0.79294975,0.348357158,0.406791687,4
Bile Duct Branch,HE2F,13_39_34048_23040_real_B_d.png,0.881851196,0.759571495,0.733543816,0.61234605,0.854741581,0.440925598,4
Bile Duct Branch,HE2F,13_39_34048_56832_real_B_a.png,0.760864258,0.776891977,0.612726528,0.635178546,0.59027451,0.380432129,4
Bile Duct Branch,HE2F,13_39_34048_56832_real_B_b.png,0.719177246,0.736905306,0.560279289,0.583412558,0.537146019,0.359588623,4
Bile Duct Branch,HE2F,13_39_34048_56832_real_B_c.png,0.920394897,0.553377279,0.649397943,0.382530477,0.916265408,0.460197449,4
Bile Duct Branch,HE2F,13_39_34048_56832_real_B_d.png,0.970748901,0.173350582,0.532779881,0.09490085,0.970658912,0.485374451,4
Bile Duct Branch,HE2F,13_39_35584_66048_real_B_a.png,0.767944336,0.767141326,0.623300328,0.622245957,0.624354699,0.383972168,4
Bile Duct Branch,HE2F,13_39_35584_66048_real_B_b.png,0.735534668,0.779860794,0.57081297,0.639157229,0.502468711,0.367767334,4
Bile Duct Branch,HE2F,13_39_35584_66048_real_B_c.png,0.764587402,0.737529772,0.616220094,0.584195774,0.648244414,0.382293701,4
Bile Duct Branch,HE2F,13_39_35584_66048_real_B_d.png,0.807113647,0.755762506,0.666237165,0.607410168,0.725064161,0.403556824,4
Bile Duct Branch,HE2F,13_39_35584_69120_real_B_a.png,0.744552612,0.728014167,0.592100729,0.572344556,0.611856901,0.372276306,4
Bile Duct Branch,HE2F,13_39_35584_69120_real_B_b.png,0.679870605,0.714557823,0.510858197,0.555884843,0.465831551,0.339935303,4
Bile Duct Branch,HE2F,13_39_35584_69120_real_B_c.png,0.647216797,0.529392607,0.459934795,0.359982283,0.559887307,0.323608398,4
Bile Duct Branch,HE2F,13_39_35584_69120_real_B_d.png,0.698928833,0.738541046,0.530833183,0.585465776,0.476200589,0.349464417,4
Bile Duct Branch,HE2F,13_39_36096_69120_real_B_a.png,0.673355103,0.624590078,0.502795581,0.454111947,0.551479216,0.336677551,4
Bile Duct Branch,HE2F,13_39_36096_69120_real_B_b.png,0.71774292,0.743667202,0.556993717,0.591934879,0.522052554,0.35887146,4
Bile Duct Branch,HE2F,13_39_36096_69120_real_B_c.png,0.738174438,0.710947897,0.582679708,0.551527665,0.61383175,0.369087219,4
Bile Duct Branch,HE2F,13_39_36096_69120_real_B_d.png,0.711685181,0.73492235,0.55033365,0.580930625,0.519736675,0.35584259,4
Bile Duct Branch,HE2F,13_39_36608_65536_real_B_a.png,0.715438843,0.458082701,0.486811157,0.297086427,0.676535886,0.357719421,4
